name,location,car_age,kilometers_driven,fuel_type,transmission,owner_number,mileage_kmpl,engine_cc,power_bhp,seats,price_lakh,price_euro
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,10,39000,Petrol,Manual,1,15.04,1598,103.2,5,3.99,4078.5
Renault KWID RXT,Kochi,8,16542,Petrol,Manual,1,25.17,799,53.3,5,3.3,3373.2
Hyundai i10 Asta,Kolkata,15,32000,Petrol,Manual,1,20.36,1197,78.9,5,2.07,2115.92
Nissan X-Trail SLX AT,Hyderabad,15,121812,Diesel,Automatic,1,13.29,1995,147.6,5,7.75,7921.91
Maruti Zen Estilo VXI BSIII,Hyderabad,15,39300,Petrol,Manual,1,18.2,998,67.1,5,2.25,2299.91
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,8,22000,Diesel,Manual,1,13.68,2393,147.8,8,19.34,19768.99
Ford Figo Diesel Titanium,Bangalore,15,72000,Diesel,Manual,1,20.0,1399,68.0,5,2.75,2811.0
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,10,58000,Petrol,Automatic,1,11.74,1796,186.0,5,26.7,27292.24
Mercedes-Benz New C-Class 200 CDI Classic,Pune,14,65000,Diesel,Manual,2,15.8,2148,170.0,5,10.0,10221.81
Tata Indica V2 eLS,Chennai,9,178000,Diesel,Manual,1,25.0,1396,69.0,5,2.5,2555.45
Audi A4 2.0 TDI Multitronic,Jaipur,13,65664,Diesel,Automatic,1,16.55,1968,140.0,5,13.5,13799.45
Honda City ZX CVT,Mumbai,18,63000,Petrol,Automatic,2,16.4,1497,78.0,5,1.85,1891.04
Maruti Ertiga SHVS VDI,Pune,9,63000,Diesel,Manual,1,24.52,1248,88.5,7,8.15,8330.78
Hyundai Creta 1.4 E Plus Diesel,Mumbai,7,13000,Diesel,Manual,1,22.1,1396,88.7,5,11.81,12071.96
Porsche Cayenne 2009-2014 Turbo,Mumbai,17,73000,Petrol,Automatic,1,8.5,4806,500.0,5,14.5,14821.63
Mahindra XUV500 W8 4WD,Mumbai,10,55729,Diesel,Manual,1,15.1,2179,140.0,7,9.65,9864.05
Hyundai i10 Sportz 1.2 AT,Kochi,13,45178,Petrol,Automatic,1,16.95,1197,78.9,5,3.48,3557.19
Nissan Terrano XV D Pre,Kochi,10,56066,Diesel,Manual,1,19.64,1461,108.5,5,16.65,17019.32
Honda Brio VX AT,Coimbatore,9,37300,Petrol,Automatic,2,16.5,1198,86.8,5,6.46,6603.29
Audi A6 2.0 TDI Design Edition,Delhi,11,56000,Diesel,Automatic,2,18.53,1968,187.74,5,29.5,30154.35
Toyota Innova 2.0 G1,Chennai,19,230000,Petrol,Manual,3,12.4,1998,132.0,8,4.5,4599.82
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,13,104000,Diesel,Manual,1,12.8,2494,102.0,7,11.75,12010.63
Maruti Swift VDI,Jaipur,13,95100,Diesel,Manual,1,22.9,1248,74.0,5,3.75,3833.18
Tata Zest Revotron 1.2T XE,Pune,8,70000,Petrol,Manual,1,17.57,1193,88.7,5,6.67,6817.95
Honda Amaze SX i-VTEC,Kochi,9,54944,Petrol,Manual,1,18.0,1198,86.7,5,4.82,4926.91
Ford Figo Diesel ZXI,Hyderabad,13,70337,Diesel,Manual,1,20.0,1399,68.0,5,2.8,2862.11
Maruti Ritz VDi,Jaipur,12,99638,Diesel,Manual,1,23.2,1248,73.94,5,3.11,3178.98
Honda City i VTEC E,Delhi,16,52000,Petrol,Manual,1,17.8,1497,117.3,5,3.25,3322.09
BMW 5 Series 2003-2012 525d,Delhi,14,75000,Diesel,Automatic,2,16.73,1995,218.0,5,13.9,14208.32
Hyundai i10 Sportz 1.2,Pune,16,95980,Petrol,Manual,1,20.36,1197,78.9,5,2.25,2299.91
Hyundai Grand i10 Sportz,Bangalore,9,16000,Petrol,Manual,1,18.9,1197,82.0,5,5.75,5877.54
Honda Amaze SX i-VTEC,Mumbai,9,18949,Petrol,Manual,1,17.8,1198,86.7,5,5.0,5110.91
Toyota Fortuner 4x2 Manual,Delhi,11,107000,Diesel,Manual,1,13.0,2982,168.5,7,16.5,16865.99
Audi A6 2011-2015 35 TDI Premium,Coimbatore,7,48367,Diesel,Automatic,1,17.68,1968,174.33,5,39.58,40457.94
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,12,57000,Diesel,Manual,1,22.7,1498,89.84,5,5.5,5622.0
Mahindra XUV500 W8 2WD,Delhi,11,58000,Diesel,Manual,1,15.1,2179,140.0,7,8.1,8279.67
Honda Amaze SX i-DTEC,Kolkata,10,30000,Diesel,Manual,1,25.8,1498,98.6,5,3.5,3577.63
Volkswagen Polo Diesel Highline 1.2L,Kolkata,12,34212,Diesel,Manual,1,22.07,1199,73.9,5,2.79,2851.89
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,15,70002,Diesel,Manual,1,16.2,1493,110.0,5,3.45,3526.53
Maruti Wagon R VXI BS IV,Bangalore,9,62000,Petrol,Manual,1,18.9,998,67.1,5,4.45,4548.71
Volkswagen Polo Petrol Highline 1.6L,Delhi,15,62001,Petrol,Manual,1,15.26,1598,103.5,5,2.65,2708.78
Hyundai i20 1.4 CRDi Sportz,Pune,14,78958,Diesel,Manual,2,23.0,1396,90.0,5,3.8,3884.29
Hyundai i20 Asta 1.2,Mumbai,11,30180,Petrol,Manual,1,18.5,1197,82.85,5,4.65,4753.14
Datsun GO Plus T Petrol,Pune,8,32851,Petrol,Manual,1,19.83,1198,67.0,7,6.45,6593.07
Audi A4 3.0 TDI Quattro Premium,Kolkata,15,30000,Diesel,Automatic,1,14.94,2967,241.4,5,9.8,10017.38
Hyundai i20 2015-2017 Asta,Pune,16,66000,Petrol,Manual,2,17.0,1197,80.0,5,2.7,2759.89
Maruti Omni 5 Str STD,Coimbatore,15,93850,Petrol,Manual,1,14.0,796,35.0,5,2.41,2463.46
Toyota Etios Liva 1.2 G,Ahmedabad,11,53000,Petrol,Manual,1,17.71,1197,78.9,5,6.41,6552.18
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,14,78000,Diesel,Automatic,2,14.74,2993,270.9,5,24.0,24532.35
Mahindra XUV500 W8 2WD,Delhi,13,65000,Diesel,Manual,2,16.0,2179,140.0,7,5.75,5877.54
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,11,40000,Diesel,Automatic,1,22.32,1582,126.32,5,5.25,5366.45
Toyota Innova Crysta 2.8 ZX AT,Mumbai,8,30000,Diesel,Automatic,1,11.36,2755,171.5,7,27.0,27598.9
Maruti Eeco 5 Seater AC,Coimbatore,8,38053,Petrol,Manual,1,15.1,1196,73.0,5,5.13,5243.79
Tata Nano Twist XT,Bangalore,11,25500,Petrol,Manual,1,25.4,624,37.5,4,2.15,2197.69
BMW 3 Series 320d Luxury Line,Mumbai,10,56087,Diesel,Automatic,1,22.69,1995,190.0,5,54.43,55637.33
Honda Civic 2006-2010 1.8 V MT,Delhi,15,71088,Petrol,Manual,1,13.5,1799,130.0,5,3.35,3424.31
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,11,55000,Diesel,Manual,1,12.99,2494,100.6,7,11.11,11356.43
Volvo V40 Cross Country D3,Bangalore,11,32700,Diesel,Automatic,1,23.3,1984,150.0,5,20.0,20443.63
Nissan Micra XV CVT,Coimbatore,9,39882,Petrol,Automatic,1,19.15,1198,75.94,5,9.51,9720.94
BMW 5 Series 2010-2013 525i,Mumbai,16,128000,Petrol,Automatic,1,10.8,2497,215.0,5,7.0,7155.27
Maruti Vitara Brezza VDi,Mumbai,9,55000,Diesel,Manual,1,24.3,1248,88.5,5,9.96,10180.93
Mercedes-Benz B Class B200 CDI,Pune,11,53753,Diesel,Automatic,2,15.0,2143,107.3,5,16.75,17121.54
Hyundai Verna CRDi 1.6 SX Option,Kolkata,7,10250,Diesel,Manual,1,22.0,1582,126.2,5,14.44,14760.3
Maruti Wagon R LXI BS IV,Pune,14,43874,Petrol,Manual,1,18.9,998,67.1,5,2.45,2504.34
Tata Nano XTA,Coimbatore,8,32684,Petrol,Automatic,1,21.9,624,37.48,4,3.23,3301.65
Mahindra Scorpio VLX,Kolkata,11,42000,Diesel,Manual,1,12.05,2179,120.0,8,7.75,7921.91
Mercedes-Benz New C-Class 200 K AT,Kolkata,16,28352,Petrol,Automatic,1,11.7,1796,178.0,5,9.35,9557.4
Maruti Wagon R LXI CNG,Pune,12,89900,CNG,Manual,1,15.64,998,58.16,5,3.25,3322.09
Honda CR-V 2.4 MT,Bangalore,18,47700,Petrol,Manual,2,10.8,2354,152.0,5,5.25,5366.45
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,10,55000,Diesel,Automatic,1,21.21,1498,103.2,5,7.25,7410.81
Maruti Ciaz VXi Plus,Kochi,8,44285,Petrol,Manual,1,20.73,1373,91.1,5,7.47,7635.69
Mahindra XUV500 AT W10 FWD,Jaipur,9,54000,Diesel,Automatic,1,16.0,2179,140.0,7,13.25,13543.9
Maruti Ritz VXI ABS,Coimbatore,9,30232,Petrol,Manual,1,21.1,1197,85.8,5,5.81,5938.87
Maruti Alto K10 VXI,Hyderabad,11,88500,Petrol,Manual,1,24.07,998,67.1,5,4.53,4630.48
Mercedes-Benz SLC 43 AMG,Kolkata,8,13372,Petrol,Automatic,1,19.0,2996,362.07,2,95.04,97148.11
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,6,12645,Petrol,Automatic,1,17.0,1591,121.3,5,13.49,13789.23
Maruti Alto LXi BSIII,Chennai,15,94385,Petrol,Manual,2,19.7,796,46.3,5,1.6,1635.49
BMW 1 Series 118d Base,Coimbatore,10,31821,Diesel,Automatic,1,20.58,1995,143.0,5,17.22,17601.96
Honda Jazz 1.2 V CVT i VTEC,Mumbai,10,12000,Petrol,Automatic,1,19.0,1199,88.7,5,6.0,6133.09
Honda Civic 2006-2010 1.8 V MT,Delhi,13,88578,Petrol,Manual,1,13.5,1799,130.0,5,3.95,4037.62
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,11,44965,Diesel,Automatic,1,19.27,2143,170.0,5,17.95,18348.15
Honda Amaze SX i-DTEC,Kolkata,11,45044,Diesel,Manual,1,25.8,1498,98.6,5,3.7,3782.07
Maruti Swift VVT VXI,Kochi,9,34204,Petrol,Manual,1,22.0,1197,81.8,5,5.43,5550.44
Toyota Fortuner 3.0 Diesel,Coimbatore,13,91235,Diesel,Manual,1,11.5,2982,171.0,7,13.49,13789.23
Chevrolet Beat LT Option,Pune,11,38800,Petrol,Manual,1,18.6,1199,76.8,5,2.85,2913.22
Skoda Rapid 1.5 TDI Elegance,Chennai,12,83000,Diesel,Manual,1,21.14,1498,103.52,5,4.75,4855.36
Maruti Ciaz 1.4 Alpha,Kochi,7,41283,Petrol,Manual,1,20.73,1373,91.1,5,9.9,10119.6
Audi RS5 Coupe,Mumbai,12,23000,Petrol,Automatic,1,11.05,2894,444.0,4,128.0,130839.21
BMW 3 Series Luxury Line,Mumbai,11,48000,Diesel,Automatic,1,21.76,1995,190.0,5,60.88,62230.4
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,10,48214,Diesel,Automatic,1,17.11,1968,174.33,5,23.32,23837.27
Maruti Swift VDI,Chennai,9,35000,Diesel,Manual,1,22.9,1248,74.0,5,6.25,6388.63
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,15,35277,Petrol,Automatic,1,7.81,5461,362.9,5,30.0,30665.44
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,9,54620,Diesel,Automatic,1,21.66,1498,103.52,5,9.86,10078.71
Skoda Superb Elegance 2.0 TDI CR AT,Pune,13,136997,Diesel,Automatic,1,17.2,1968,138.1,5,8.5,8688.54
Hyundai EON Magna Plus,Kochi,6,14322,Petrol,Manual,1,21.1,814,55.2,5,4.23,4323.83
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,13,65634,Diesel,Manual,1,22.07,1199,73.9,5,3.5,3577.63
Datsun GO NXT,Kolkata,9,6000,Petrol,Manual,1,20.63,1198,67.06,5,2.5,2555.45
Honda Brio S MT,Kolkata,12,33280,Petrol,Manual,1,19.4,1198,86.8,5,2.39,2443.01
Mercedes-Benz B Class B180,Delhi,12,29000,Petrol,Automatic,1,14.8,1595,120.7,5,11.25,11499.54
Honda City i DTEC V,Kochi,10,42831,Diesel,Manual,1,26.0,1498,98.6,5,7.11,7267.71
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,9,90000,Diesel,Manual,1,12.99,2494,100.6,7,10.9,11141.78
Maruti Swift VXI Optional,Ahmedabad,8,24005,Petrol,Manual,1,20.4,1197,81.8,5,6.2,6337.52
Mahindra XUV500 W8 2WD,Mumbai,13,32792,Diesel,Manual,1,15.1,2179,140.0,7,7.9,8075.23
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,11,147898,Diesel,Manual,1,22.7,1498,89.84,5,4.42,4518.04
Toyota Fortuner 4x2 Manual,Mumbai,13,131765,Diesel,Manual,1,13.0,2982,168.5,7,13.5,13799.45
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,12,65000,Diesel,Automatic,1,21.5,1498,108.5,5,6.25,6388.63
Ford Figo Diesel Titanium,Jaipur,15,66123,Diesel,Manual,2,20.0,1399,68.0,5,2.1,2146.58
BMW X5 xDrive 30d,Mumbai,10,41000,Diesel,Automatic,1,15.3,2993,258.0,5,45.0,45998.16
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,8,23550,Diesel,Automatic,1,19.27,2143,167.62,5,33.66,34406.62
Honda Brio V MT,Bangalore,13,45000,Petrol,Manual,2,19.4,1198,86.8,5,3.65,3730.96
Hyundai i10 Magna 1.2,Delhi,12,60000,Petrol,Manual,1,20.36,1197,78.9,5,2.75,2811.0
Mercedes-Benz GLC 220,Bangalore,9,44414,Diesel,Automatic,1,17.9,2143,170.0,5,42.5,43442.71
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,6,1000,Petrol,Manual,1,18.9,1197,81.86,5,7.39,7553.92
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,13,62500,Diesel,Automatic,2,17.68,1968,174.33,5,19.0,19421.45
Volkswagen Vento Petrol Highline AT,Mumbai,12,21000,Petrol,Automatic,2,14.4,1598,103.6,5,4.45,4548.71
Mini Countryman Cooper D,Jaipur,8,8525,Diesel,Automatic,2,16.6,1998,112.0,5,23.0,23510.17
Hyundai i20 Asta 1.4 CRDi,Bangalore,11,29000,Diesel,Manual,1,22.54,1396,88.73,5,8.35,8535.21
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,11,40000,Diesel,Automatic,1,17.68,1968,174.33,5,22.95,23459.06
Chevrolet Beat Diesel LT,Jaipur,13,88000,Diesel,Manual,1,25.44,936,57.6,5,1.5,1533.27
Skoda Superb Elegance 1.8 TSI AT,Kochi,13,53537,Petrol,Automatic,1,13.7,1798,157.75,5,6.89,7042.83
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,19,216000,Diesel,Manual,2,17.8,1399,68.0,5,1.45,1482.16
BMW 5 Series 520d Luxury Line,Hyderabad,11,51000,Diesel,Automatic,1,22.48,1995,190.0,5,69.47,71010.94
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,18,118500,Petrol,Manual,1,12.9,1598,102.5,5,1.25,1277.73
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,13,63000,Diesel,Manual,1,22.07,1199,73.9,5,4.2,4293.16
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,10,25000,Diesel,Manual,1,19.98,1461,108.5,8,6.75,6899.72
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,11,37382,Diesel,Automatic,1,13.0,2143,201.1,5,32.0,32709.8
Maruti Baleno Alpha,Kochi,8,24773,Petrol,Manual,1,21.4,1197,83.1,5,8.78,8974.75
Hyundai Verna 1.6 SX,Delhi,13,62000,Diesel,Manual,1,22.32,1582,126.32,5,4.6,4702.03
Hyundai i10 Magna 1.1,Kochi,8,52340,Petrol,Manual,1,19.81,1086,68.05,5,4.04,4129.61
Mahindra Scorpio 1.99 S10 4WD,Kochi,9,56739,Diesel,Manual,1,15.4,1997,120.0,7,10.31,10538.69
Land Rover Range Rover 2.2L Dynamic,Coimbatore,7,36091,Diesel,Automatic,1,12.7,2179,187.7,5,55.76,56996.83
Ford Figo Diesel ZXI,Chennai,15,120000,Diesel,Manual,1,20.0,1399,68.0,5,2.6,2657.67
Maruti Ertiga ZDI,Mumbai,9,33000,Diesel,Manual,1,25.47,1248,88.5,7,12.74,13022.59
Honda Amaze S i-Dtech,Kolkata,11,52000,Diesel,Manual,1,25.8,1498,98.6,5,3.5,3577.63
Hyundai i10 Magna,Jaipur,10,43571,Petrol,Manual,1,20.36,1197,78.9,5,3.55,3628.74
Honda Amaze S i-Dtech,Kolkata,12,50000,Diesel,Manual,1,25.8,1498,98.6,5,3.25,3322.09
Skoda Laura Ambiente,Hyderabad,17,113000,Diesel,Manual,1,17.5,1896,106.0,5,4.5,4599.82
Renault Duster 85PS Diesel RxL,Delhi,11,90000,Diesel,Manual,1,19.87,1461,83.8,5,5.35,5468.67
Mahindra NuvoSport N6,Chennai,8,29000,Diesel,Manual,2,17.45,1493,100.0,7,10.52,10753.35
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,9,20000,Diesel,Manual,1,24.3,1248,88.5,5,11.98,12245.73
Hyundai i20 Asta Option 1.2,Kochi,9,61012,Petrol,Manual,1,18.6,1197,81.83,5,6.0,6133.09
Skoda Fabia 1.4 MPI Ambiente,Jaipur,16,87459,Petrol,Manual,1,14.7,1390,85.0,5,2.75,2811.0
Tata Indigo eCS GLX,Pune,15,70500,Petrol,Manual,1,15.64,1193,64.1,5,1.5,1533.27
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,10,64103,Diesel,Automatic,1,15.73,1968,174.33,5,19.9,20341.41
Skoda Octavia Elegance 1.8 TSI AT,Mumbai,11,76000,Petrol,Automatic,1,14.7,1798,177.5,5,10.0,10221.81
Toyota Etios Liva GD SP,Delhi,11,104000,Diesel,Manual,1,23.59,1364,67.06,5,3.0,3066.54
Mercedes-Benz B Class B180,Kochi,11,37245,Petrol,Automatic,1,14.8,1595,120.7,5,11.96,12225.29
Honda Amaze S Diesel,Kolkata,12,45000,Diesel,Manual,1,27.4,1498,98.6,5,8.54,8729.43
Hyundai Verna 1.6 SX,Jaipur,13,117837,Diesel,Manual,2,22.32,1582,126.32,5,4.75,4855.36
Renault Duster 85PS Diesel RxL Optional,Mumbai,11,30000,Diesel,Manual,1,20.46,1461,83.8,5,5.95,6081.98
Hyundai Creta 1.6 VTVT S,Delhi,10,27057,Petrol,Manual,2,15.29,1591,121.3,5,8.15,8330.78
Maruti Wagon R AMT VXI,Mumbai,9,8500,Petrol,Automatic,1,20.51,998,67.0,5,4.22,4313.61
Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,15,30500,Petrol,Automatic,1,11.74,1796,186.0,5,10.5,10732.9
Audi A8 L 3.0 TDI quattro,Delhi,13,56000,Diesel,Automatic,1,11.8,2967,246.7,5,45.0,45998.16
Hyundai i10 Magna 1.1,Pune,13,44000,Petrol,Manual,2,19.81,1086,68.05,5,2.9,2964.33
Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,8,10500,Petrol,Automatic,1,14.3,1598,103.52,5,8.9,9097.41
Skoda Superb Style 1.8 TSI AT,Hyderabad,8,26000,Petrol,Automatic,1,14.67,1798,177.46,5,33.58,34324.85
Hyundai i20 Active 1.2 SX,Coimbatore,7,25166,Petrol,Manual,1,17.19,1197,81.86,5,8.22,8402.33
Honda Amaze VX i-DTEC,Kolkata,11,64000,Diesel,Manual,2,25.8,1498,98.6,5,3.5,3577.63
Maruti Wagon R LXI,Chennai,21,61000,Petrol,Manual,2,18.9,998,67.1,5,1.25,1277.73
Mahindra Verito 1.5 D4 BSIV,Hyderabad,12,107000,Diesel,Manual,1,21.03,1461,65.0,5,9.12,9322.29
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,7,29161,Diesel,Automatic,1,19.27,2143,167.62,5,39.41,40284.17
Maruti Wagon R VXI,Kolkata,12,32000,Petrol,Manual,1,22.5,998,67.04,5,5.29,5407.34
Nissan Terrano XV Premium 110 PS Anniversary Edition,Coimbatore,10,46173,Diesel,Manual,2,19.01,1461,108.5,5,8.92,9117.86
Mini Cooper Convertible S,Kochi,8,26327,Petrol,Automatic,1,16.82,1998,189.08,4,44.28,45262.19
Tata Indica V2 DLS BSII,Jaipur,18,200000,Diesel,Manual,2,17.2,1396,53.5,5,0.85,868.85
Chevrolet Beat LT,Kochi,9,60813,Petrol,Manual,2,18.6,1199,76.8,5,3.32,3393.64
Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,13,45000,Diesel,Manual,1,22.07,1199,73.9,5,3.6,3679.85
Maruti Swift ZDi,Hyderabad,9,64000,Diesel,Manual,1,22.9,1248,74.0,5,6.8,6950.83
